name,SMILES,MW,MW_MCS,NR,NR_MCS,HD,HD_MCS,HA,HA_MCS,FC,FC_MCS,LogP,LogP_MCS,name
DECOYS977,Cc1scc(CC(Nc2n(c3ccccc3)nc(C4CCCC4)c2)=O)n1,366.49,0.455160722,6,0.4,1,0.2,5,0.375,0,1,4.47602,0.795997572,DECOYS
DECOYS978,Cc1sc(CN(C(Nc2cn(C(C)C)nc2)=O)Cc3ccncc3)cc1,369.494,0.463007465,8,0.533333333,1,0.2,5,0.375,0,1,4.46322,0.79405553,DECOYS
DECOYS979,CCSCc1ccc(C(Nc2ccc(Cn3ncnc3)cc2)=O)cc1,352.463,0.418520821,8,0.533333333,1,0.2,5,0.375,0,1,3.8318,0.698255196,DECOYS
DECOYS980,c1ccc(n2ncc(CCC(Nc3cc4c(snc4)cc3)=O)c2)cc1,348.431,0.407988841,6,0.4,1,0.2,5,0.375,0,1,4.0533,0.731861629,DECOYS
DECOYS981,C[C@H](Sc1n(Cc2ccccc2)c(C3CC3)nn1)C(NC4CCCCC4)=O,384.549,0.502332604,8,0.533333333,1,0.2,5,0.375,0,1,4.1333,0.743999393,DECOYS
DECOYS982,C[C@@H](Sc1n(Cc2ccccc2)c(C3CC3)nn1)C(NC4CCCCC4)=O,384.549,0.502332604,8,0.533333333,1,0.2,5,0.375,0,1,4.1333,0.743999393,DECOYS
DECOYS983,c1csc(CC(Nc2ccc(c3nnc(N4CCCCC4)cc3)cc2)=O)c1,378.501,0.486534634,6,0.4,1,0.2,5,0.375,0,1,4.3766,0.780913367,DECOYS
DECOYS984,c1cc(NC(Cc2sccc2)=O)cc(c3nnc(N4CCCCC4)cc3)c1,378.501,0.486534634,6,0.4,1,0.2,5,0.375,0,1,4.3766,0.780913367,DECOYS
DECOYS985,c1csc(c2nnc(N3CCC(C(NCCC(CCCC4)=C4)=O)CC3)cc2)c1,396.56,0.533706515,7,0.466666667,1,0.2,5,0.375,0,1,4.4282,0.788742224,DECOYS
DECOYS986,CCn1c(SCC(Nc2ccc(c3ccccc3)cc2)=O)nnc1C4CC4,378.501,0.486534634,8,0.533333333,1,0.2,5,0.375,0,1,4.5732,0.810741921,DECOYS
DECOYS987,C[C@H](Sc1n(c2ccccc2)c(C3CC3)nn1)C(NCC4CCCCC4)=O,384.549,0.502332604,8,0.533333333,1,0.2,5,0.375,0,1,4.3218,0.772598999,DECOYS
DECOYS988,C[C@@H](Sc1n(c2ccccc2)c(C3CC3)nn1)C(NCC4CCCCC4)=O,384.549,0.502332604,8,0.533333333,1,0.2,5,0.375,0,1,4.3218,0.772598999,DECOYS
DECOYS989,c1cc(NC(Cc2sccc2)=O)cc(c3nnc(N4CCCC4)cc3)c1,364.474,0.449894732,6,0.4,1,0.2,5,0.375,0,1,3.9865,0.721726597,DECOYS
DECOYS990,c1ccc([C@@H](NC(c2sc3c(CCCC3)c2)=O)CCn4ncnc4)cc1,366.49,0.455160722,7,0.466666667,1,0.2,5,0.375,0,1,3.7798,0.69036565,DECOYS
DECOYS991,c1ccc([C@H](NC(c2sc3c(CCCC3)c2)=O)CCn4ncnc4)cc1,366.49,0.455160722,7,0.466666667,1,0.2,5,0.375,0,1,3.7798,0.69036565,DECOYS
DECOYS992,Cc1c(NC(CSc2n(Cc3ccccc3)c(C4CC4)nn2)=O)cccc1,378.501,0.486534634,8,0.533333333,1,0.2,5,0.375,0,1,4.24302,0.760646336,DECOYS
DECOYS993,Cc1cc(NC(CSc2n(Cc3ccccc3)c(C4CC4)nn2)=O)ccc1,378.501,0.486534634,8,0.533333333,1,0.2,5,0.375,0,1,4.24302,0.760646336,DECOYS
DECOYS994,Cc1ccc(NC(CSc2n(Cc3ccccc3)c(C4CC4)nn2)=O)cc1,378.501,0.486534634,8,0.533333333,1,0.2,5,0.375,0,1,4.24302,0.760646336,DECOYS
DECOYS995,CC1CCC(NC(CSc2nn(c3ccccc3)c(C4CC4)n2)=O)CC1,370.522,0.465692702,7,0.466666667,1,0.2,5,0.375,0,1,3.9317,0.713412229,DECOYS
DECOYS996,Cc1c(n2c(S[C@H](C(NCC3CCCCC3)=O)C)nnc2)cccc1,358.511,0.434318791,7,0.466666667,1,0.2,5,0.375,0,1,3.75282,0.686272189,DECOYS
DECOYS997,Cc1c(n2c(S[C@@H](C(NCC3CCCCC3)=O)C)nnc2)cccc1,358.511,0.434318791,7,0.466666667,1,0.2,5,0.375,0,1,3.75282,0.686272189,DECOYS
DECOYS998,CSc1c(C(NCc2nn(C3CCCC3)c(c4ncccc4)c2)=O)cccc1,392.528,0.523174535,7,0.466666667,1,0.2,5,0.375,0,1,4.7121,0.831816113,DECOYS
DECOYS999,c1cc(NC(CCCc2sccc2)=O)cc(c3n4c(CCCCC4)nn3)c1,380.517,0.491800624,7,0.466666667,1,0.2,5,0.375,0,1,4.6944,0.829130633,DECOYS
DECOYS1000,c1csc(CCCC(Nc2ccc(c3n4c(CCCCC4)nn3)cc2)=O)c1,380.517,0.491800624,7,0.466666667,1,0.2,5,0.375,0,1,4.6944,0.829130633,DECOYS
DECOYS1001,c1ccc(N(C(CSc2nc(c3sccc3)n[nH]2)=O)C4CCCCC4)cc1,398.557,0.538922875,7,0.466666667,1,0.2,5,0.375,0,1,4.5093,0.801046882,DECOYS
DECOYS1002,CCN(c1ccc(C(Nc2sc(Cc3ccccc3)nn2)=O)cc1)CC,366.49,0.455160722,8,0.533333333,1,0.2,5,0.375,0,1,4.2274,0.758276438,DECOYS
DECOYS1003,Cc1sc(CN(C(Nc2ccc(c3oc(C)nn3)cc2)=O)C4CC4)cc1,368.462,0.46031178,7,0.466666667,1,0.2,5,0.375,0,1,4.61144,0.816543772,DECOYS
DECOYS1004,CC[C@@H](n1ncc(C(NCCc2sc(c3n2)cccc3)=O)c1C4CC4)C,368.506,0.460426712,8,0.533333333,1,0.2,5,0.375,0,1,4.3137,0.77137005,DECOYS
DECOYS1005,CC[C@H](n1ncc(C(NCCc2sc(c3n2)cccc3)=O)c1C4CC4)C,368.506,0.460426712,8,0.533333333,1,0.2,5,0.375,0,1,4.3137,0.77137005,DECOYS
DECOYS1006,CCn1c(SCC(N[C@@H](c2ccccc2)C)=O)nnc1c3ccccc3,366.49,0.455160722,8,0.533333333,1,0.2,5,0.375,0,1,3.9345,0.713837051,DECOYS
DECOYS1007,CCn1c(SCC(N[C@H](c2ccccc2)C)=O)nnc1c3ccccc3,366.49,0.455160722,8,0.533333333,1,0.2,5,0.375,0,1,3.9345,0.713837051,DECOYS
DECOYS1008,CCc1c(NC(CSc2n(c3ccccc3)c(C4CC4)nn2)=O)cccc1,378.501,0.486534634,8,0.533333333,1,0.2,5,0.375,0,1,4.4379,0.790213928,DECOYS
DECOYS1009,CC1CCC(NC(CSc2n(c3ccccc3)c(C4CC4)nn2)=O)CC1,370.522,0.465692702,7,0.466666667,1,0.2,5,0.375,0,1,3.9317,0.713412229,DECOYS
DECOYS1010,CN(c1cc(C(NCc2nn(C3CCCC3)c(c4sccc4)c2)=O)ccc1)C,394.544,0.528440525,7,0.466666667,1,0.2,5,0.375,0,1,4.7227,0.833424367,DECOYS
DECOYS1011,C[C@H](Sc1n(CC=C)c(c2ccccc2)nn1)C(NC3CCCCC3)=O,370.522,0.465692702,8,0.533333333,1,0.2,5,0.375,0,1,4.0606,0.7329692,DECOYS
DECOYS1012,C[C@@H](Sc1n(CC=C)c(c2ccccc2)nn1)C(NC3CCCCC3)=O,370.522,0.465692702,8,0.533333333,1,0.2,5,0.375,0,1,4.0606,0.7329692,DECOYS
DECOYS1013,CCn1c(S[C@H](C(NC2(CC(CC3C2)CC4C3)C4)=O)C)nnc1C5CC5,374.554,0.476224682,7,0.466666667,1,0.2,5,0.375,0,1,3.741,0.684478835,DECOYS
DECOYS1014,CCn1c(S[C@@H](C(NC2(CC(CC3C2)CC4C3)C4)=O)C)nnc1C5CC5,374.554,0.476224682,7,0.466666667,1,0.2,5,0.375,0,1,3.741,0.684478835,DECOYS
DECOYS1015,CCn1c2c(cc(NC(CSC3=NC(N)=CC(=O)N3)=O)cc2)c(c14)cccc4,393.472,0.525640356,6,0.4,3,0.6,6,0.5,0,1,2.7288,0.530905781,DECOYS
DECOYS1016,c1cc(O)cc(NC(CCSCC2=Nc(c3C(=O)N2)sc4c3CCC4)=O)c1,401.513,0.546644237,7,0.466666667,3,0.6,6,0.5,0,1,2.959,0.565832195,DECOYS
DECOYS1017,c1cc(O)cc(NC(CSCC2=Nc(c3C(=O)N2)sc4c3CCCC4)=O)c1,401.513,0.546644237,6,0.4,3,0.6,6,0.5,0,1,2.959,0.565832195,DECOYS
DECOYS1018,c1cc(O)cc(NC(CCSCC2=Nc(c3C(=O)N2)sc4c3CCCC4)=O)c1,415.54,0.583284139,7,0.466666667,3,0.6,6,0.5,0,1,3.3491,0.625018965,DECOYS
DECOYS1019,Cc1ccc(NC(S[C@@H]([C@H]23)[C@@H](C(N(Cc4ccccc4)C)=O)C[C@@H](O)[C@@H]2O)=N3)cc1,425.554,0.60944169,6,0.4,3,0.6,6,0.5,0,1,2.64722,0.518528296,DECOYS
DECOYS1020,C=CCNC(c1cc2c(C(=O)NC(=C3C(NC4CCCC4)=O)N2C(=S)S3)cc1)=O,428.539,0.617238803,7,0.466666667,3,0.6,6,0.5,0,1,2.67809,0.523211956,DECOYS
DECOYS1021,Cc1nc(c2c(COC)c1)sc3c2N[C@@H](c4ccc(NC(C)=O)cc4)NC3=O,396.472,0.53347665,5,0.333333333,3,0.6,6,0.5,0,1,3.56362,0.657566378,DECOYS
DECOYS1022,Cc1nc(c2c(COC)c1)sc3c2N[C@H](c4ccc(NC(C)=O)cc4)NC3=O,396.472,0.53347665,5,0.333333333,3,0.6,6,0.5,0,1,3.56362,0.657566378,DECOYS
DECOYS1023,COc1cc2c(nc(SCC(Nc3sc4c(CCCC4)c3C(N)=O)=O)[nH]2)cc1,416.528,0.585864892,7,0.466666667,3,0.6,6,0.5,0,1,2.8596,0.550751024,DECOYS
DECOYS1024,Cc1nc(SCC(Nc2sc3c(CCCC3)n2)=O)[nH]c1Cc4ccc(O)cc4,414.556,0.580713834,7,0.466666667,3,0.6,6,0.5,0,1,3.59872,0.662891822,DECOYS
DECOYS1025,COc1cc2c(nc(SCC(Nc3sc4c(CCC4)c3C(N)=O)=O)[nH]2)cc1,402.501,0.54922499,7,0.466666667,3,0.6,6,0.5,0,1,2.4695,0.491564254,DECOYS
DECOYS1026,Cc1ccc(OCc2scc(CNc3cc4c([nH]nc4C(N)=O)cc3)n2)cc1,393.472,0.525640356,7,0.466666667,3,0.6,6,0.5,0,1,3.13592,0.59267486,DECOYS
DECOYS1027,CC(Nc1ccc(NC(CSC2=Nc(c3C(=O)N2)sc4c3CCCC4)=O)cc1)=O,428.539,0.617238803,7,0.466666667,3,0.6,6,0.5,0,1,3.0707,0.582779548,DECOYS
DECOYS1028,CC(Nc1cc(NC(CSC2=Nc(c3C(=O)N2)sc4c3CCCC4)=O)ccc1)=O,428.539,0.617238803,7,0.466666667,3,0.6,6,0.5,0,1,3.0707,0.582779548,DECOYS
DECOYS1029,CCN1C(=O)C(=O)Nc(c12)cc(C(Nc3scc(c4c5c(cccc5)[nH]c4)n3)=O)cc2,431.477,0.624913148,5,0.333333333,3,0.6,6,0.5,0,1,2.603,0.511819147,DECOYS
DECOYS1030,Cc1c(C#N)c(n2c(NCCCNC(c3cc(O)ccc3)=O)c1)nc(c24)cccc4,399.454,0.541265927,7,0.466666667,3,0.6,6,0.5,0,1,3.6052,0.663874981,DECOYS
DECOYS1031,c1ccc(C(NCC(N(CCc2cc(O)c(O)cc2)C(=O)c(c34)cccc3)=N4)=O)cc1,415.449,0.583046438,7,0.466666667,3,0.6,6,0.5,0,1,2.9804,0.569079047,DECOYS
DECOYS1032,Cc1cc(SCC2=Nc(c3C(=O)N2)sc(C(NCCO)=O)c3C)c(C)cc1,403.529,0.551910227,7,0.466666667,3,0.6,6,0.5,0,1,2.44236,0.487446518,DECOYS
DECOYS1033,CCOC(C1=C2N(c3c(cccc3)N2)C(=O)C(c4ccccc4)=C1NCCO)=O,391.427,0.520298615,7,0.466666667,3,0.6,6,0.5,0,1,2.5468,0.503292368,DECOYS
DECOYS1034,CC1(C)C[C@@H](NC(c2[nH]nc(O)c2)=O)c3c(nc(N(Cc4ccccc4)C)nc3)C1,406.49,0.55964465,6,0.4,3,0.6,6,0.5,0,1,2.5033,0.496692459,DECOYS
DECOYS1035,CC1(C)C[C@H](NC(c2[nH]nc(O)c2)=O)c3c(nc(N(Cc4ccccc4)C)nc3)C1,406.49,0.55964465,6,0.4,3,0.6,6,0.5,0,1,2.5033,0.496692459,DECOYS
DECOYS1036,c1c(C(NC2CC2)=O)cc3c(C(=O)NC(=C4C(NC5CCCC5)=O)N3C(=S)S4)c1,428.539,0.617238803,6,0.4,3,0.6,6,0.5,0,1,2.65449,0.519631315,DECOYS
DECOYS1037,Cc1c2c(N=C(SCC(Nc3cc(NC(C)=O)ccc3)=O)NC2=O)sc1C,402.501,0.54922499,7,0.466666667,3,0.6,6,0.5,0,1,2.80874,0.543034441,DECOYS
DECOYS1038,Cc1c2c(N=C(CS[C@@H](C(Nc3ccc(C(N)=O)cc3)=O)C)NC2=O)sc1C,416.528,0.585864892,7,0.466666667,3,0.6,6,0.5,0,1,2.47884,0.492981338,DECOYS
DECOYS1039,Cc1c2c(N=C(CS[C@H](C(Nc3ccc(C(N)=O)cc3)=O)C)NC2=O)sc1C,416.528,0.585864892,7,0.466666667,3,0.6,6,0.5,0,1,2.47884,0.492981338,DECOYS
DECOYS1040,CC[C@@]1(C)Oc(c2C(=O)C1)ccc(NC(NCCc3nc(N)sc3)=O)c2,374.466,0.475994818,7,0.466666667,3,0.6,6,0.5,0,1,3.2234,0.605947504,DECOYS
DECOYS1041,CC[C@]1(C)Oc(c2C(=O)C1)ccc(NC(NCCc3nc(N)sc3)=O)c2,374.466,0.475994818,7,0.466666667,3,0.6,6,0.5,0,1,3.2234,0.605947504,DECOYS
DECOYS1042,COc1cc2c(nc(NC(CC[C@H]3NC(=O)c(c4NC3=O)cccc4)=O)s2)cc1,410.455,0.57000162,6,0.4,3,0.6,6,0.5,0,1,2.7743,0.537809134,DECOYS
DECOYS1043,Cc1cc(SCC2=Nc(c3C(=O)N2)sc(C(NC[C@H](O)C)=O)c3C)c(C)cc1,417.556,0.588550129,7,0.466666667,3,0.6,6,0.5,0,1,2.83086,0.546390533,DECOYS
DECOYS1044,Cc1cc(SCC2=Nc(c3C(=O)N2)sc(C(NC[C@@H](O)C)=O)c3C)c(C)cc1,417.556,0.588550129,7,0.466666667,3,0.6,6,0.5,0,1,2.83086,0.546390533,DECOYS
DECOYS1045,COc1c(O)ccc([C@@H]2N(C[C@H]3OCCC3)C(=O)c(c24)[nH]nc4c5c(O)cccc5)c1,421.453,0.598729475,5,0.333333333,3,0.6,6,0.5,0,1,2.7388,0.532423001,DECOYS
DECOYS1046,COc1c(O)ccc([C@H]2N(C[C@@H]3OCCC3)C(=O)c(c24)[nH]nc4c5c(O)cccc5)c1,421.453,0.598729475,5,0.333333333,3,0.6,6,0.5,0,1,2.7388,0.532423001,DECOYS
DECOYS1047,COc1c(O)ccc([C@@H]2N(C[C@@H]3OCCC3)C(=O)c(c24)[nH]nc4c5c(O)cccc5)c1,421.453,0.598729475,5,0.333333333,3,0.6,6,0.5,0,1,2.7388,0.532423001,DECOYS
DECOYS1048,COc1c(O)ccc([C@H]2N(C[C@H]3OCCC3)C(=O)c(c24)[nH]nc4c5c(O)cccc5)c1,421.453,0.598729475,5,0.333333333,3,0.6,6,0.5,0,1,2.7388,0.532423001,DECOYS
DECOYS1049,CCOc1c(O)ccc([C@H]2N(CCOC)C(=O)c(c23)[nH]nc3c4c(O)cccc4)c1,409.442,0.567355564,7,0.466666667,3,0.6,6,0.5,0,1,2.5963,0.51080261,DECOYS
DECOYS1050,CCOc1c(O)ccc([C@@H]2N(CCOC)C(=O)c(c23)[nH]nc3c4c(O)cccc4)c1,409.442,0.567355564,7,0.466666667,3,0.6,6,0.5,0,1,2.5963,0.51080261,DECOYS
DECOYS1051,Cc1nsc(NC)c1C(NCc2cc(F)c(N3CCC(O)CC3)cc2)=O,378.473,0.486461495,6,0.4,3,0.6,6,0.5,0,1,2.52342,0.499745107,DECOYS
DECOYS1052,Cc1cc(c2n[nH]c3c2[C@@H](c4cc(OC)c(O)cc4)N(CCOC)C3=O)c(O)c(C)c1,423.469,0.603995465,6,0.4,3,0.6,6,0.5,0,1,2.82304,0.545204066,DECOYS
DECOYS1053,Cc1cc(c2n[nH]c3c2[C@H](c4cc(OC)c(O)cc4)N(CCOC)C3=O)c(O)c(C)c1,423.469,0.603995465,6,0.4,3,0.6,6,0.5,0,1,2.82304,0.545204066,DECOYS
DECOYS1054,c1cc2c(nc(c3cscc3)nc2N[C@H](CO)Cc4ccc(O)cc4)cc1,377.469,0.483838948,6,0.4,3,0.6,6,0.5,0,1,4.0794,0.735821575,DECOYS
DECOYS1055,c1c(CCNc2nc(c3ccncc3)nc4c2CCC4)cc(O)c(O)c1,348.406,0.407923539,5,0.333333333,3,0.6,6,0.5,0,1,3.0931,0.586178122,DECOYS
DECOYS1056,CC[C@H](Nc1nc(Nc2c(OC)cccc2)nc(c13)cccc3)CO,338.411,0.381815617,7,0.466666667,3,0.6,6,0.5,0,1,3.5648,0.65774541,DECOYS
DECOYS1057,CC[C@@H](Nc1nc(Nc2c(OC)cccc2)nc(c13)cccc3)CO,338.411,0.381815617,7,0.466666667,3,0.6,6,0.5,0,1,3.5648,0.65774541,DECOYS
DECOYS1058,Cc1c(NC[C@@H](O)c2cc(O)ccc2)n(c3nc1C)nc(c4ccc(F)cc4)c3,392.434,0.522928998,5,0.333333333,3,0.6,6,0.5,0,1,4.00334,0.724281596,DECOYS
DECOYS1059,Cc1c(NC[C@H](O)c2cc(O)ccc2)n(c3nc1C)nc(c4ccc(F)cc4)c3,392.434,0.522928998,5,0.333333333,3,0.6,6,0.5,0,1,4.00334,0.724281596,DECOYS
DECOYS1060,CC[C@@H](Nc1nc(Nc2cc(OC)ccc2)nc(c13)cccc3)CO,338.411,0.381815617,7,0.466666667,3,0.6,6,0.5,0,1,3.5648,0.65774541,DECOYS
DECOYS1061,CC[C@H](Nc1nc(Nc2cc(OC)ccc2)nc(c13)cccc3)CO,338.411,0.381815617,7,0.466666667,3,0.6,6,0.5,0,1,3.5648,0.65774541,DECOYS
DECOYS1062,CC[C@@H](Nc1nc(Nc2c(OC)ccc(C)c2)nc(c13)cccc3)CO,352.438,0.418455519,7,0.466666667,3,0.6,6,0.5,0,1,3.87322,0.704539524,DECOYS
DECOYS1063,CC[C@H](Nc1nc(Nc2c(OC)ccc(C)c2)nc(c13)cccc3)CO,352.438,0.418455519,7,0.466666667,3,0.6,6,0.5,0,1,3.87322,0.704539524,DECOYS
DECOYS1064,CC[C@@H](Nc1nc(Nc2ccc(OC)cc2)nc(c13)cccc3)CO,338.411,0.381815617,7,0.466666667,3,0.6,6,0.5,0,1,3.5648,0.65774541,DECOYS
DECOYS1065,CC[C@H](Nc1nc(Nc2ccc(OC)cc2)nc(c13)cccc3)CO,338.411,0.381815617,7,0.466666667,3,0.6,6,0.5,0,1,3.5648,0.65774541,DECOYS
DECOYS1066,COc1c(Nc2nc(NCCO)c(c3n2)cccc3)cc(Cl)cc1,344.802,0.398509537,6,0.4,3,0.6,6,0.5,0,1,3.4396,0.63874981,DECOYS
DECOYS1067,CC(c1ccc(Nc2n3c([nH]cn3)nc2c4cc(OC)c(O)cc4)cc1)C,363.421,0.447144193,5,0.333333333,3,0.6,6,0.5,0,1,3.8237,0.697026248,DECOYS
DECOYS1068,Cc1nn(c2c(NC(NCc3c(O)ccc(OC)c3)=O)cccc2)c(C)n1,367.409,0.457561241,7,0.466666667,3,0.6,6,0.5,0,1,2.92004,0.559921105,DECOYS
DECOYS1069,CNC(COc1ccc(Nc2nnc(c3ccc(O)cc3)c(c24)cccc4)cc1)=O,400.438,0.543836232,7,0.466666667,3,0.6,6,0.5,0,1,3.8708,0.704172356,DECOYS
DECOYS1070,COc1c(OC)c(OC)cc(CNNc2nc(c3[nH]2)cc(Cl)cc3)c1,362.817,0.445566486,7,0.466666667,3,0.6,6,0.5,0,1,2.8769,0.553375816,DECOYS
DECOYS1071,Cc1nc(c2c(COC)c1)sc(C(Nc3cc4c([nH]c(C)n4)cc3)=O)c2N,381.461,0.494266444,5,0.333333333,3,0.6,6,0.5,0,1,3.28844,0.615815506,DECOYS
DECOYS1072,CCC(Nc1cc(C(Nc2cnc(n3c(C)ncc3)cc2)=O)c(O)cc1)=O,365.393,0.452295251,7,0.466666667,3,0.6,6,0.5,0,1,2.88212,0.554167805,DECOYS
DECOYS1073,c1cc(O)cc([C@H](O)CNc2n3c(cc(c4ccc(F)cc4)n3)nc5c2CCC5)c1,404.445,0.554302909,5,0.333333333,3,0.6,6,0.5,0,1,3.8752,0.704839933,DECOYS
DECOYS1074,c1cc(O)cc([C@@H](O)CNc2n3c(cc(c4ccc(F)cc4)n3)nc5c2CCC5)c1,404.445,0.554302909,5,0.333333333,3,0.6,6,0.5,0,1,3.8752,0.704839933,DECOYS
DECOYS1075,c1cc(F)cc(c2nn(c3c2)c(NC[C@@H](O)c4cc(O)ccc4)c5c(CCC5)n3)c1,404.445,0.554302909,5,0.333333333,3,0.6,6,0.5,0,1,3.8752,0.704839933,DECOYS
DECOYS1076,c1cc(F)cc(c2nn(c3c2)c(NC[C@H](O)c4cc(O)ccc4)c5c(CCC5)n3)c1,404.445,0.554302909,5,0.333333333,3,0.6,6,0.5,0,1,3.8752,0.704839933,DECOYS
DECOYS1077,CC(Oc1n[nH]c(Nc2nc(NCc3ccc(F)cc3)ncc2Cl)c1)C,376.823,0.482151533,7,0.466666667,3,0.6,6,0.5,0,1,3.6532,0.671157639,DECOYS
DECOYS1078,COc1ccc(Nc2sc(C(c3c4c(cccc4)[nH]c3)=O)c(N)n2)cc1,364.43,0.4497798,5,0.333333333,3,0.6,6,0.5,0,1,3.7079,0.679456835,DECOYS
DECOYS1079,c1cc2c(c3c(n(CCO)c(N\N=C\c4c(O)cccc4)n3)cc2)cc1,346.39,0.402657549,5,0.333333333,3,0.6,6,0.5,0,1,3.3334,0.622636929,DECOYS
DECOYS1080,Cc1nc(c2c(COC)c1)sc(C(Nc3ccc(NC(C)=O)cc3)=O)c2N,384.461,0.502102739,7,0.466666667,3,0.6,6,0.5,0,1,3.54402,0.654592626,DECOYS
DECOYS1081,CCOc1ccc(c2n[nH]c3c2[C@@H](c4ccc(NC(C)=O)cc4)C(C#N)=C(N)O3)cc1,415.453,0.583056886,6,0.4,3,0.6,6,0.5,0,1,3.17008,0.597857685,DECOYS
DECOYS1082,CCOc1ccc(c2n[nH]c3c2[C@H](c4ccc(NC(C)=O)cc4)C(C#N)=C(N)O3)cc1,415.453,0.583056886,6,0.4,3,0.6,6,0.5,0,1,3.17008,0.597857685,DECOYS
DECOYS1083,Cc1nc(NCc2ccccc2)nc(N\N=C\c3c(O)cccc3)c1,333.395,0.368713333,6,0.4,3,0.6,6,0.5,0,1,3.54872,0.65530572,DECOYS
DECOYS1084,Cc1c2c(N=C(CS[C@@H](C(Nc3cc(O)ccc3)=O)C)NC2=O)sc1C,389.502,0.515270326,6,0.4,3,0.6,6,0.5,0,1,3.08554,0.585031103,DECOYS
DECOYS1085,Cc1c2c(N=C(CS[C@H](C(Nc3cc(O)ccc3)=O)C)NC2=O)sc1C,389.502,0.515270326,6,0.4,3,0.6,6,0.5,0,1,3.08554,0.585031103,DECOYS
DECOYS1086,CCCCN1C(=O)C(C(Nc2ncccc2O)=O)=C(O)c(c13)cccc3,353.378,0.420910891,6,0.4,3,0.6,6,0.5,0,1,2.8601,0.550826885,DECOYS
DECOYS1087,c1ccc(n2nc(c3cnccc3)c(C(NCCc4cc(O)c(O)cc4)=O)c2)cc1,400.438,0.543836232,7,0.466666667,3,0.6,6,0.5,0,1,3.318,0.62030041,DECOYS
DECOYS1088,CCC(Nc1cc(C(Nc2cc(c3n(C)cnn3)ccc2)=O)c(O)cc1)=O,365.393,0.452295251,7,0.466666667,3,0.6,6,0.5,0,1,2.7885,0.539963587,DECOYS
DECOYS1089,Cc1nc(c2c(COC)c1)sc(C(Nc3c(O)ccc(Cl)c3)=O)c2N,377.853,0.484841994,5,0.333333333,3,0.6,6,0.5,0,1,3.94462,0.715372478,DECOYS
DECOYS1090,Cc1nn(c2ccccc2)c(c13)sc(C(NCCc4cc(O)c(O)cc4)=O)c3,393.468,0.525629907,6,0.4,3,0.6,6,0.5,0,1,3.77912,0.690262479,DECOYS
DECOYS1091,CC[C@H](Nc1nc(Nc2ccc(C(C)=O)cc2)nc(c13)cccc3)CO,350.422,0.413189529,7,0.466666667,3,0.6,6,0.5,0,1,3.7588,0.687179487,DECOYS
DECOYS1092,CC[C@@H](Nc1nc(Nc2cc(C(C)=O)ccc2)nc(c13)cccc3)CO,350.422,0.413189529,7,0.466666667,3,0.6,6,0.5,0,1,3.7588,0.687179487,DECOYS
DECOYS1093,CCc1ccc(NC(CSc2ncnc3c2nnn3c4ccc(F)cc4)=O)cc1,408.462,0.564795708,7,0.466666667,1,0.2,7,0.625,0,1,3.6428,0.66957973,DECOYS
DECOYS1094,Cc1ccc(NC(CSc2ncnc3c2nnn3Cc4ccc(F)cc4)=O)cc1,408.462,0.564795708,7,0.466666667,1,0.2,7,0.625,0,1,3.44792,0.640012138,DECOYS
DECOYS1095,Cc1cc(NC(CSc2ncnc3c2nnn3Cc4ccc(F)cc4)=O)ccc1,408.462,0.564795708,7,0.466666667,1,0.2,7,0.625,0,1,3.44792,0.640012138,DECOYS
DECOYS1096,Cc1ccc(n2nnc3c2ncnc3SCC(Nc4cc(F)ccc4)=O)cc1,394.435,0.528155806,6,0.4,1,0.2,7,0.625,0,1,3.38882,0.631045365,DECOYS
DECOYS1097,Cc1cc(NC(CSc2ncnc3c2nnn3c4ccc(F)cc4)=O)ccc1,394.435,0.528155806,6,0.4,1,0.2,7,0.625,0,1,3.38882,0.631045365,DECOYS
DECOYS1098,Cc1ccc(n2nnc3c2ncnc3SCC(Nc4ccc(F)cc4)=O)cc1,394.435,0.528155806,6,0.4,1,0.2,7,0.625,0,1,3.38882,0.631045365,DECOYS
DECOYS1099,Cc1ccc(NC(CSc2ncnc3c2nnn3c4ccc(F)cc4)=O)cc1,394.435,0.528155806,6,0.4,1,0.2,7,0.625,0,1,3.38882,0.631045365,DECOYS
DECOYS1100,Cc1cc(NC(CSc2ncnc3c2nnn3c4ccc(F)cc4)=O)cc(C)c1,408.462,0.564795708,6,0.4,1,0.2,7,0.625,0,1,3.69724,0.677839478,DECOYS
DECOYS1101,Cc1ccc(n2nnc3c2ncnc3SCC(Nc4cc(Cl)ccc4)=O)cc1,410.89,0.571137882,6,0.4,1,0.2,7,0.625,0,1,3.90312,0.709076013,DECOYS
DECOYS1102,Cc1ccc(n2nnc3c2ncnc3SCC(Nc4ccc(Cl)cc4)=O)cc1,410.89,0.571137882,6,0.4,1,0.2,7,0.625,0,1,3.90312,0.709076013,DECOYS
DECOYS1103,c1ccc(n2nnc3c2ncnc3SCC(Nc4cc(F)ccc4)=O)cc1,380.408,0.491515905,6,0.4,1,0.2,7,0.625,0,1,3.0804,0.584251252,DECOYS
DECOYS1104,c1c(NC(CSc2ncnc3c2nnn3c4ccc(F)cc4)=O)ccc(F)c1,398.398,0.538507552,6,0.4,1,0.2,7,0.625,0,1,3.2195,0.605355788,DECOYS
DECOYS1105,c1cc(F)cc(NC(CSc2ncnc3c2nnn3c4ccc(F)cc4)=O)c1,398.398,0.538507552,6,0.4,1,0.2,7,0.625,0,1,3.2195,0.605355788,DECOYS
